"","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG","FULL_EASTING","FULL_NORTHING","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV"
"3139","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","CRANE","RIVER: Natural/semi-natural flowing fresh watercourse","DUKE OF NORTHUMBERLANDS",164567,1,"TQ",15080,73430,"TQ1508073430",515080,173430,"GB106039023030",,,,,,,,,,,,,,,,2017-05-02,2022-10-19,12,FALSE
"3140","THAMES - WEST","THAMES","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","THAMES (W AREA)",164599,1,"SU",23317,98158,"SU2331798158",423317,198158,"GB106039030333",70,0.3,40.12,6,23.5,200,,,,100,210,,,,2013-12-01,2013-05-29,2013-11-12,2,FALSE
"3141","THAMES - WEST","THAMES","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","FILCHAMPSTEAD BROOK",166155,1,"SP",45187,6602,"SP4518706602",445187,206602,"GB106039030210",,1.5,3.65,,,,,,,,202,,,,2013-10-01,2017-05-19,2017-09-22,2,FALSE
"3142","THAMES - SOUTH EAST","THAMES","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WEY (NORTH)",166883,1,"SU",72372,39571,"SU7237239571",472372,139571,"GB106039017800",,3.5,1.86,1,,,,,,,,,,,,2013-09-02,2013-09-02,1,FALSE
"3143","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",167965,1,"TL",7078,24369,"TL0707824369",507078,224369,"GB106038033440",,,,,,,,,,,,,,,,2013-10-04,2013-11-01,2,FALSE
"3144","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","CUFFLEY BROOK",168766,1,"TQ",32363,99340,"TQ3236399340",532363,199340,"GB106038033180",,,,,,,,,,,,,,,,2013-11-19,2013-11-29,2,FALSE
"3145","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","CUFFLEY BROOK",168767,1,"TQ",31817,99930,"TQ3181799930",531817,199930,"GB106038033180",,,,,,,,,,,,,,,,2013-11-19,2013-11-29,2,FALSE
"3146","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","CUFFLEY BROOK",168769,1,"TL",31817,473,"TL3181700473",531817,200473,"GB106038033180",,,,,,,,,,,,,,,,2013-11-19,2013-11-29,2,FALSE
"3147","SOUTHERN - KENT & E. SUSSEX","KENT SOUTH LONDON AND EAST SUSSEX","NORTH KENT","RIVER: Natural/semi-natural flowing fresh watercourse","SWALECLIFFE BROOK",169623,1,"TR",13091,66385,"TR1309166385",613091,166385,"GB107040019630",7,1,10.7,1,1.4,13,27,30,2,41,147.1,,,,2021-06-21,2014-05-13,2021-10-08,5,FALSE
"3148","SOUTHERN - KENT & E. SUSSEX","KENT SOUTH LONDON AND EAST SUSSEX","LEN","RIVER: Natural/semi-natural flowing fresh watercourse","LEN",170544,1,"TQ",82577,54041,"TQ8257754041",582577,154041,"GB106040016843",,,,,,,,,,,,,,,,2011-06-03,2011-06-03,1,FALSE
"3149","THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","LATCHFORD BROOK",171784,1,"SP",65318,1383,"SP6531801383",465318,201383,"GB106039023830",66,1.9,5.84,1,2.4,12.5,3,31,3,63,228,,,,2015-01-09,2014-05-16,2014-09-17,2,FALSE
"3150","THAMES - WEST","THAMES","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","CUTTERS BROOK",173564,1,"SP",64172,21364,"SP6417221364",464172,221364,"GB106039030120",61,0.8,8.3,1,1.2,8,0,0,0,100,183,,,,2015-01-30,2015-04-15,2015-11-02,2,FALSE
"3151","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","MOLE","DITCH: Artificial channel used primarily for land drainage","HORSE HILL DITCH",173664,1,"TQ",25780,43158,"TQ2578043158",525780,143158,"GB106039017621",,,,,,,,,,,,,,,,2014-08-18,2014-08-18,1,FALSE
"3152","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","MOLE","DITCH: Artificial channel used primarily for land drainage","SPENCERS GILL",173665,1,"TQ",25810,43140,"TQ2581043140",525810,143140,"GB106039017621",,,,,,,,,,,,,,,,2014-08-18,2014-08-18,1,FALSE
"3153","SOUTHERN - KENT & E. SUSSEX","KENT SOUTH LONDON AND EAST SUSSEX","THAMES TIDEWAY (THAMES SE AREA)","DRAIN: Natural or artificial watercourse primarily used for land drainage","YANTLET CREEK",174505,1,"TQ",84604,75866,"TQ8460475866",584604,175866,"GB106040024120",,,,,3,113.3,,,,100,,,,,2015-07-31,2015-03-30,2015-10-05,2,FALSE
"3154","THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","EMM BROOK",174985,1,"SU",83161,66553,"SU8316166553",483161,166553,"GB106039023130",,,,,,,,,,,,,,,,2014-11-11,2015-03-04,2,FALSE
