"","Site","RCP","Variable","Differences","Estimate","LandUse"
"223","Ox","rcp26","Ni",0.0184004480286735,"median","agri"
"224","Ox","rcp45","Ni",-0.235702150537637,"median","agri"
"225","Lon","rcp26","Ni",0.03076842293907,"median","agri"
"226","Lon","rcp45","Ni",-0.127552258064513,"median","agri"
"227","Caver","rcp26","Ni",-0.0648890860215069,"median","agri"
"228","Caver","rcp45","Ni",-0.308401756272404,"median","agri"
"229","Egham","rcp26","Ni",-0.0366107706093199,"median","agri"
"230","Egham","rcp45","Ni",-0.237935376344083,"median","agri"
"231","Crick","rcp26","Am",-0.00436566863799283,"median","agri"
"232","Crick","rcp45","Am",-0.00705069856630823,"median","agri"
"233","Ox","rcp26","Am",-0.00272766362007173,"median","agri"
"234","Ox","rcp45","Am",-0.00474340465949823,"median","agri"
"235","Lon","rcp26","Am",0.0059207693548387,"median","agri"
"236","Lon","rcp45","Am",0.00582632078853051,"median","agri"
"237","Caver","rcp26","Am",-0.00461026594982077,"median","agri"
"238","Caver","rcp45","Am",-0.00792060322580647,"median","agri"
"239","Egham","rcp26","Am",-0.00145655573476703,"median","agri"
"240","Egham","rcp45","Am",-0.00388192329749103,"median","agri"
"241","Crick","rcp26","flow",-0.0713978566308267,"upper","agri"
"242","Crick","rcp45","flow",-0.0808468172043,"upper","agri"
"243","Ox","rcp26","flow",-0.231264089605741,"upper","agri"
"244","Ox","rcp45","flow",-0.303190050179214,"upper","agri"
"245","Lon","rcp26","flow",-1.0087368458781,"upper","agri"
"246","Lon","rcp45","flow",-1.44098125448027,"upper","agri"
"247","Caver","rcp45","flow",-0.646344996415733,"upper","agri"
"248","Caver","rcp26","flow",-0.483274838709667,"upper","agri"
"249","Egham","rcp26","flow",-0.799448566308269,"upper","agri"
"250","Egham","rcp45","flow",-1.16449512544807,"upper","agri"
"251","Crick","rcp26","temp",3.64033222222223,"upper","agri"
"252","Crick","rcp45","temp",5.98059878136203,"upper","agri"
"253","Ox","rcp26","temp",3.64033222222223,"upper","agri"
"254","Ox","rcp45","temp",5.98059878136203,"upper","agri"
"255","Lon","rcp26","temp",3.64033222222223,"upper","agri"
"256","Lon","rcp45","temp",5.98059878136203,"upper","agri"
"257","Caver","rcp26","temp",3.64033222222223,"upper","agri"
"258","Caver","rcp45","temp",5.98059878136203,"upper","agri"
"259","Egham","rcp26","temp",3.64033222222223,"upper","agri"
"260","Egham","rcp45","temp",5.98059878136203,"upper","agri"
"261","Crick","rcp26","P",0.188648012903225,"upper","agri"
"262","Crick","rcp45","P",0.224660943010753,"upper","agri"
"263","Ox","rcp26","P",0.072405642437276,"upper","agri"
"264","Ox","rcp45","P",0.0862420845878137,"upper","agri"
"265","Lon","rcp26","P",0.176894574910394,"upper","agri"
"266","Lon","rcp45","P",0.211718323655914,"upper","agri"
"267","Caver","rcp26","P",0.107908453046595,"upper","agri"
"268","Caver","rcp45","P",0.129146392831542,"upper","agri"
"269","Egham","rcp26","P",0.1455375390681,"upper","agri"
"270","Egham","rcp45","P",0.174481721863799,"upper","agri"
"271","Crick","rcp26","DO",-0.147938283154113,"upper","agri"
"272","Crick","rcp45","DO",-0.36947411111109,"upper","agri"
"273","Ox","rcp26","DO",-0.0700804086021532,"upper","agri"
"274","Ox","rcp45","DO",-0.278483949820787,"upper","agri"
"275","Lon","rcp26","DO",-0.106483738351257,"upper","agri"
